Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo,Engine_Volume_Num,Age,Age_Group,Mileage_Band,Inventory_Segment,Price_Per_Litre,Is_Premium_Brand
59464,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,76000,4.0,Automatic,Front,4-5,Left wheel,White,4,False,2.0,10,Mid,Medium Mileage,Premium,29732.0,False
549,1079.0,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2,74146,4.0,Automatic,Front,4-5,Left wheel,White,12,False,2.0,8,Mid,Medium Mileage,Standard,274.5,False
7683,810.0,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840,4.0,Automatic,Front,4-5,Left wheel,Blue,12,False,1.8,10,Mid,Medium Mileage,Standard,4268.33,False
28382,810.0,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317,4.0,Automatic,Front,4-5,Left wheel,White,4,False,1.8,10,Mid,Medium Mileage,Premium,15767.78,False
549,2386.0,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059,6.0,Automatic,Rear,4-5,Left wheel,Blue,12,False,3.3,20,Old,High Mileage,Standard,166.36,False
941,1850.0,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523,6.0,Automatic,4x4,4-5,Left wheel,Black,12,False,3.5,18,Old,High Mileage,Standard,268.86,True
18826,531.0,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,1.6,14,Old,Medium Mileage,Standard,11766.25,False
20698,586.0,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000,4.0,Automatic,Front,4-5,Left wheel,White,12,False,1.8,14,Old,High Mileage,Standard,11498.89,False
17562,1249.0,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709,4.0,Automatic,Front,4-5,Left wheel,Black,12,False,2.5,9,Mid,Low Mileage,Standard,7024.8,False
7840,0.0,FORD,Transit,2001,Microbus,No,Diesel,2.0 Turbo,230000,4.0,Manual,Front,2-3,Left wheel,White,0,True,2.0,25,Classic/Junk,High Mileage,Standard,3920.0,False
20385,0.0,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2 Turbo,210000,4.0,Tiptronic,Rear,4-5,Left wheel,Black,8,True,2.2,20,Old,High Mileage,Standard,9265.91,True
549,2455.0,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,0,8.0,Automatic,4x4,4-5,Left wheel,White,0,False,4.7,18,Old,Low Mileage,Standard,116.81,True
14454,583.0,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,1.6,15,Old,High Mileage,Standard,9033.75,False
12074,1537.0,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550,6.0,Automatic,4x4,4-5,Left wheel,Blue,12,False,3.3,17,Old,High Mileage,Standard,3658.79,False
15681,1288.0,MERCEDES-BENZ,Vito,2007,Goods wagon,No,Diesel,2.0 Turbo,180000,6.0,Manual,Rear,4-5,Left wheel,White,4,True,2.0,19,Old,High Mileage,Standard,7840.5,True
19444,915.0,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3,175056,6.0,Automatic,4x4,4-5,Left wheel,White,12,False,3.0,12,Old,High Mileage,Standard,6481.33,True
6899,0.0,BMW,X5,2000,Jeep,Yes,CNG,4.4,200000,8.0,Automatic,4x4,4-5,Left wheel,Silver,6,False,4.4,26,Classic/Junk,High Mileage,Standard,1567.95,True
24462,0.0,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0 Turbo,250000,6.0,Tiptronic,4x4,4-5,Left wheel,Black,10,True,3.0,19,Old,High Mileage,Standard,8154.0,False
23235,707.0,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,162000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,False,2.0,15,Old,High Mileage,Standard,11617.5,False
51746,1077.0,TOYOTA,CHR Limited,2019,Jeep,No,Petrol,2,10200,4.0,Tiptronic,Front,4-5,Left wheel,Red,12,False,2.0,7,Mid,Low Mileage,Premium,25873.0,False
7527,1486.0,HONDA,FIT,2010,Hatchback,No,Hybrid,1.3,158000,4.0,Automatic,Front,4-5,Right-hand drive,Black,4,False,1.3,16,Old,High Mileage,Standard,5790.0,False
19121,531.0,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,1.6,14,Old,Medium Mileage,Standard,11950.62,False
24462,751.0,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200,4.0,Automatic,Front,4-5,Left wheel,Blue,4,False,2.4,13,Old,High Mileage,Standard,10192.5,False
45734,1091.0,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057,4.0,Automatic,Front,4-5,Left wheel,Black,4,False,2.5,10,Mid,Medium Mileage,Premium,18293.6,False
20165,650.0,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4 Turbo,11200,4.0,Tiptronic,Front,4-5,Left wheel,Black,8,True,1.4,10,Mid,Low Mileage,Standard,14403.57,False
21326,382.0,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000,4.0,Tiptronic,Front,4-5,Left wheel,White,12,False,2.4,12,Old,Medium Mileage,Standard,8885.83,False
549,1436.0,PORSCHE,Cayenne,2010,Jeep,Yes,Petrol,3.6,160259,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,False,3.6,16,Old,High Mileage,Standard,152.5,True
15681,503.0,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000,4.0,Variator,Front,4-5,Left wheel,Sky blue,8,False,1.5,14,Old,Medium Mileage,Standard,10454.0,False
55390,1017.0,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,100734,4.0,Automatic,Front,4-5,Left wheel,Black,4,False,2.0,9,Mid,Medium Mileage,Premium,27695.0,False
12544,0.0,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500,4.0,Automatic,Front,4-5,Right-hand drive,Black,8,False,1.5,14,Old,Medium Mileage,Standard,8362.67,False
17249,0.0,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000,4.0,Variator,4x4,4-5,Left wheel,White,8,False,2.3,18,Old,Medium Mileage,Standard,7499.57,False
34889,891.0,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768,4.0,Automatic,Front,4-5,Left wheel,Blue,4,False,2.0,10,Mid,Medium Mileage,Premium,17444.5,False
862,1104.0,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014,6.0,Automatic,4x4,4-5,Left wheel,Black,0,False,3.0,11,Old,High Mileage,Standard,287.33,True
14583,0.0,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5 Turbo,132542,4.0,Manual,Front,4-5,Left wheel,White,10,True,1.5,18,Old,Medium Mileage,Standard,9722.0,False
38500,639.0,AUDI,Q5,2014,Jeep,Yes,Petrol,2,87000,1.0,Tiptronic,4x4,4-5,Left wheel,White,12,False,2.0,12,Old,Medium Mileage,Premium,19250.0,True
8781,0.0,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2,260000,4.0,Manual,Rear,2-3,Left wheel,Blue,0,False,2.0,25,Classic/Junk,High Mileage,Standard,4390.5,True
87112,0.0,MERCEDES-BENZ,GLA 250,2019,Jeep,Yes,Petrol,2.0 Turbo,5323,4.0,Tiptronic,4x4,4-5,Left wheel,Grey,0,True,2.0,7,Mid,Low Mileage,Premium,43556.0,True
1411,629.0,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112,4.0,Automatic,4x4,4-5,Left wheel,Black,0,False,1.6,11,Old,Medium Mileage,Standard,881.88,False
23521,781.0,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4 Turbo,22000,4.0,Automatic,Front,4-5,Left wheel,Red,6,True,1.4,8,Mid,Low Mileage,Standard,16800.71,False
16935,530.0,FORD,Fusion,2013,Sedan,No,Petrol,1.6 Turbo,83000,4.0,Tiptronic,Front,4-5,Left wheel,Silver,8,True,1.6,13,Old,Medium Mileage,Standard,10584.38,False
10349,0.0,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000,4.0,Automatic,Front,4-5,Right-hand drive,Black,6,False,2.4,19,Old,High Mileage,Standard,4312.08,False
7213,530.0,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118,4.0,Automatic,Front,4-5,Left wheel,Black,0,False,1.6,13,Old,High Mileage,Standard,4508.12,False
5331,0.0,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,False,1.6,22,Classic/Junk,Medium Mileage,Standard,3331.88,True
20526,640.0,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279,4.0,Automatic,Front,4-5,Left wheel,Grey,4,False,2.0,13,Old,High Mileage,Standard,10263.0,False
34657,777.0,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,2.5,12,Old,High Mileage,Premium,13862.8,False
36564,1091.0,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969,4.0,Automatic,Front,4-5,Left wheel,Black,4,False,2.5,10,Mid,Medium Mileage,Premium,14625.6,False
5488,0.0,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000,4.0,Manual,Front,4-5,Right-hand drive,Sky blue,3,False,1.5,25,Classic/Junk,High Mileage,Standard,3658.67,False
30063,934.0,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,2.5,11,Old,Medium Mileage,Premium,12025.2,False
15800,769.0,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,2.2,15,Old,High Mileage,Standard,7181.82,False
43952,1249.0,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643,4.0,Automatic,Front,4-5,Left wheel,Grey,4,False,2.5,9,Mid,Medium Mileage,Premium,17580.8,False
53154,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,84506,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,2.0,10,Mid,Medium Mileage,Premium,26577.0,False
14740,645.0,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000,4.0,Automatic,Front,4-5,Left wheel,White,8,False,1.8,15,Old,High Mileage,Standard,8188.89,False
42337,0.0,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3 Turbo,75000,4.0,Tiptronic,Rear,2-3,Left wheel,Silver,6,True,2.3,10,Mid,Medium Mileage,Premium,18407.39,False
3763,1053.0,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362,6.0,Automatic,Rear,4-5,Left wheel,White,12,False,3.5,12,Old,Medium Mileage,Standard,1075.14,True
18189,0.0,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000,4.0,Automatic,Front,4-5,Left wheel,Silver,8,False,1.8,14,Old,High Mileage,Standard,10105.0,False
862,2455.0,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190,8.0,Automatic,4x4,4-5,Left wheel,White,0,False,4.7,18,Old,High Mileage,Standard,183.4,True
5645,1324.0,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877,6.0,Automatic,4x4,4-5,Left wheel,White,12,False,3.3,16,Old,High Mileage,Standard,1710.61,False
7527,830.0,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656,4.0,Automatic,Front,4-5,Left wheel,White,12,False,1.5,7,Mid,Low Mileage,Standard,5018.0,False
21953,1187.0,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000,8.0,Automatic,4x4,4-5,Right-hand drive,White,10,False,1.4,12,Old,Low Mileage,Standard,15680.71,False
8154,0.0,HONDA,Cr-v,1998,Jeep,No,Petrol,2,0,4.0,Automatic,4x4,4-5,Right-hand drive,White,2,False,2.0,28,Classic/Junk,Low Mileage,Standard,4077.0,False
21953,781.0,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053,4.0,Automatic,Front,4-5,Left wheel,Black,0,False,2.5,14,Old,High Mileage,Standard,8781.2,False
19121,531.0,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362,4.0,Automatic,Front,4-5,Left wheel,Black,4,False,1.6,14,Old,Medium Mileage,Standard,11950.62,False
36065,639.0,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191,4.0,Automatic,Front,4-5,Left wheel,White,4,False,2.0,12,Old,Medium Mileage,Premium,18032.5,False
8781,1111.0,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000,4.0,Tiptronic,Front,4-5,Right-hand drive,Green,12,False,1.3,14,Old,Medium Mileage,Standard,6754.62,False
6247,760.0,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772,4.0,Automatic,Front,4-5,Left wheel,Black,4,False,1.8,16,Old,Low Mileage,Standard,3470.56,False
16289,642.0,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,False,2.0,14,Old,High Mileage,Standard,8144.5,False
77775,1604.0,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811,8.0,Automatic,4x4,4-5,Left wheel,Black,10,False,5.5,12,Old,High Mileage,Premium,14140.91,True
549,781.0,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213,4.0,Automatic,4x4,4-5,Left wheel,Blue,0,False,2.5,14,Old,Medium Mileage,Standard,219.6,False
6981,1095.0,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2,103246,4.0,Automatic,Front,4-5,Left wheel,Black,4,False,2.0,18,Old,Medium Mileage,Standard,3490.5,False
27284,891.0,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,False,2.0,10,Mid,Medium Mileage,Premium,13642.0,False
32929,0.0,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0 Turbo,160000,4.0,Automatic,Rear,2-3,Left wheel,Black,12,True,2.0,13,Old,High Mileage,Premium,16464.5,True
4234,0.0,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0,4.0,Manual,Front,2-3,Left wheel,Blue,6,False,1.4,29,Classic/Junk,Low Mileage,Standard,3024.29,False
15053,0.0,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000,6.0,Tiptronic,Rear,4-5,Left wheel,Grey,8,False,3.2,22,Classic/Junk,High Mileage,Standard,4704.06,True
15458,966.0,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,123346,4.0,Automatic,Front,4-5,Left wheel,Black,4,False,2.0,17,Old,Medium Mileage,Standard,7729.0,False
2901,473.0,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827,4.0,Automatic,Front,4-5,Left wheel,Green,12,False,1.4,12,Old,Medium Mileage,Standard,2072.14,False
706,1138.0,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464,6.0,Automatic,Rear,2-3,Left wheel,Black,12,False,3.8,13,Old,Medium Mileage,Standard,185.79,True
15681,1811.0,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240,8.0,Automatic,4x4,4-5,Left wheel,Silver,0,False,4.6,16,Old,High Mileage,Standard,3408.91,True
26657,0.0,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2 Turbo,300000,4.0,Manual,Rear,4-5,Left wheel,White,1,True,2.2,22,Classic/Junk,High Mileage,Premium,12116.82,True
10663,988.0,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400,4.0,Automatic,Front,4-5,Left wheel,Silver,6,False,1.5,19,Old,High Mileage,Standard,7108.67,False
12858,765.0,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200,4.0,Automatic,Front,4-5,Left wheel,Sky blue,10,False,2.0,11,Old,Medium Mileage,Standard,6429.0,False
1019,917.0,BMW,X5,2013,Jeep,Yes,Diesel,3,137802,6.0,Automatic,4x4,4-5,Left wheel,Black,12,False,3.0,13,Old,Medium Mileage,Standard,339.67,True
549,917.0,BMW,535,2013,Sedan,Yes,Hybrid,3,151586,6.0,Automatic,Rear,4-5,Left wheel,White,12,False,3.0,13,Old,High Mileage,Standard,183.0,True
12858,0.0,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000,4.0,Manual,Front,4-5,Left wheel,Silver,2,False,1.2,10,Mid,Medium Mileage,Standard,10715.0,False
15000,0.0,BMW,328,2008,Sedan,Yes,CNG,3,210408,6.0,Tiptronic,Rear,4-5,Left wheel,White,12,False,3.0,18,Old,High Mileage,Standard,5000.0,True
85553,1156.0,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567,4.0,Automatic,Front,4-5,Left wheel,Black,4,False,2.3,9,Mid,Medium Mileage,Premium,37196.96,False
44752,1091.0,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,False,2.5,10,Mid,Medium Mileage,Premium,17900.8,False
17158,687.0,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740,4.0,Automatic,Front,4-5,Left wheel,White,4,False,1.6,16,Old,Medium Mileage,Standard,10723.75,False
12231,0.0,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000,4.0,Tiptronic,4x4,4-5,Right-hand drive,White,16,False,2.4,21,Classic/Junk,Medium Mileage,Standard,5096.25,False
11917,11714.0,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5,150000,12.0,Tiptronic,Rear,4-5,Right-hand drive,White,12,False,5.0,23,Classic/Junk,High Mileage,Standard,2383.4,True
1254,0.0,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000,4.0,Manual,Rear,4-5,Left wheel,Red,0,False,1.3,29,Classic/Junk,Medium Mileage,Standard,964.62,False
25591,640.0,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,2.0,13,Old,Medium Mileage,Premium,12795.5,False
14897,836.0,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962,4.0,Automatic,Front,4-5,Left wheel,White,4,False,2.0,16,Old,Medium Mileage,Standard,7448.5,False
23521,779.0,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000,4.0,Tiptronic,Front,4-5,Left wheel,White,12,False,2.5,13,Old,Medium Mileage,Standard,9408.4,False
706,777.0,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0,4.0,Automatic,Front,4-5,Left wheel,Red,12,False,2.5,12,Old,Low Mileage,Standard,282.4,False
1019,1537.0,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358,6.0,Automatic,4x4,4-5,Left wheel,Black,12,False,3.3,17,Old,High Mileage,Standard,308.79,False
16935,765.0,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454,4.0,Automatic,Front,4-5,Left wheel,Black,0,False,2.0,11,Old,Medium Mileage,Standard,8467.5,False
19444,781.0,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,False,2.5,14,Old,Low Mileage,Standard,7777.6,False
11604,639.0,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,346470,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,2.0,12,Old,High Mileage,Standard,5802.0,False
51965,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,59515,4.0,Automatic,Front,4-5,Left wheel,Blue,4,False,2.0,10,Mid,Medium Mileage,Premium,25982.5,False
706,394.0,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312,4.0,Automatic,Front,4-5,Left wheel,Grey,12,False,2.5,12,Old,Medium Mileage,Standard,282.4,False
9408,0.0,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2 Turbo,111111,4.0,Manual,Rear,4-5,Left wheel,Silver,4,True,2.2,27,Classic/Junk,Medium Mileage,Standard,4276.36,True
13328,1347.0,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444,4.0,Automatic,Front,4-5,Left wheel,Yellow,4,False,2.5,18,Old,Medium Mileage,Standard,5331.2,False
17876,0.0,NISSAN,Serena,2012,Minivan,No,Petrol,2,143000,4.0,Tiptronic,Front,4-5,Right-hand drive,White,12,False,2.0,14,Old,Medium Mileage,Standard,8938.0,False
549,2866.0,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709,6.0,Automatic,Front,4-5,Left wheel,Grey,12,False,3.5,22,Classic/Junk,High Mileage,Standard,156.86,False
20071,0.0,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000,4.0,Automatic,4x4,4-5,Left wheel,Silver,8,False,2.4,18,Old,Medium Mileage,Standard,8362.92,False
22894,862.0,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444,4.0,Automatic,Front,4-5,Left wheel,Yellow,4,False,2.5,15,Old,Medium Mileage,Standard,9157.6,False
2901,503.0,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403,4.0,Automatic,Front,4-5,Left wheel,White,0,False,1.5,14,Old,Medium Mileage,Standard,1934.0,False
15681,0.0,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000,4.0,Automatic,4x4,2-3,Left wheel,Blue,6,False,2.4,29,Classic/Junk,Medium Mileage,Standard,6533.75,False
39829,1811.0,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821,8.0,Automatic,4x4,4-5,Left wheel,Black,0,False,4.6,16,Old,High Mileage,Premium,8658.48,True
706,1646.0,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907,8.0,Automatic,4x4,4-5,Left wheel,Black,0,False,4.6,11,Old,Medium Mileage,Standard,153.48,True
18660,0.0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,False,2.4,13,Old,Medium Mileage,Standard,7775.0,False
22580,1017.0,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930,4.0,Automatic,Rear,4-5,Left wheel,Black,12,False,2.0,9,Mid,Medium Mileage,Standard,11290.0,True
11604,639.0,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,264872,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,2.0,12,Old,High Mileage,Standard,5802.0,False
5488,751.0,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958,4.0,Automatic,Front,4-5,Left wheel,Black,12,False,2.4,13,Old,Medium Mileage,Standard,2286.67,False
18817,609.0,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058,4.0,Automatic,Front,4-5,Left wheel,White,12,False,2.5,8,Mid,Low Mileage,Standard,7526.8,False
21169,697.0,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330,4.0,Automatic,4x4,4-5,Left wheel,Grey,8,False,1.8,11,Old,Low Mileage,Standard,11760.56,False
9095,0.0,FIAT,500,2011,Coupe,No,Petrol,1.2,141000,4.0,Automatic,Front,2-3,Right-hand drive,Red,4,False,1.2,15,Old,Medium Mileage,Standard,7579.17,False
1568,639.0,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2,82392,4.0,Automatic,Front,4-5,Left wheel,Silver,12,False,2.0,12,Old,Medium Mileage,Standard,784.0,False
3136,0.0,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2.0 Turbo,180000,6.0,Tiptronic,4x4,4-5,Right-hand drive,Blue,6,True,2.0,21,Classic/Junk,High Mileage,Standard,1568.0,False
17876,585.0,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920,4.0,Tiptronic,Front,4-5,Left wheel,Grey,12,False,1.8,13,Old,Medium Mileage,Standard,9931.11,False
11290,891.0,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,279787,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,2.0,10,Mid,High Mileage,Standard,5645.0,False
36065,1399.0,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200,6.0,Tiptronic,Front,4-5,Left wheel,White,16,False,3.5,16,Old,High Mileage,Premium,10304.29,False
